crag,total_routes,avg_stars_crag,num_routes_<= 5.6,avg_stars_<= 5.6,num_routes_5.7-5.9,avg_stars_5.7-5.9,num_routes_5.10a-d,avg_stars_5.10a-d,num_routes_5.11a-d,avg_stars_5.11a-d,num_routes_5.12a-d,avg_stars_5.12a-d
Aurora Slab > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.5,,,1.0,4.0,1.0,3.0,,,,
BPR Wall > Fairangel Gap and Valley > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,3.43,,,1.0,3.5,1.0,2.8,1.0,4.0,,
Spradlin spire > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.0,,,1.0,3.0,1.0,3.0,,,,
The Barnyard > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,3.0,,,1.0,3.0,,,,,,
Nunatak > Glacier Creek Drainage and Snowbird Glacier > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.8,,,1.0,2.8,,,,,,
Independence Crag > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,9,2.86,,,1.0,2.6,6.0,2.93,2.0,2.75,,
Dermatologist's Dream Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,7,2.99,,,1.0,2.4,4.0,3.2,2.0,2.85,,
Std walls > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,2.67,,,1.0,2.0,2.0,3.0,,,,
The Lost Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,4,2.83,,,1.0,2.0,,,1.0,3.3,2.0,3.0
Good Hope Towers > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.0,,,1.0,2.0,,,,,,
Mint hut > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.0,,,1.0,2.0,,,,,,
Spirit Boulder Area > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.0,,,1.0,2.0,,,,,,
Renaissance Wall > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,10,2.99,,,1.0,1.8,2.0,2.75,7.0,3.23,,
Eye of Sauron > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,0.5,,,1.0,0.5,,,,,,
The White Spot > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,7,3.24,,,,,5.0,3.18,2.0,3.4,,
Monkey Face > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,3.33,,,,,3.0,3.33,,,,
Tarzan's Temple > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,3.0,,,,,2.0,2.75,1.0,3.5,,
Gold Cord Lake > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,4.0,,,,,1.0,4.0,,,,
Inferno wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,4.0,,,,,1.0,4.0,,,,
Whale Beak Buttress > Glacier Creek Drainage and Snowbird Glacier > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,4.0,,,,,1.0,4.0,,,,
The Guardian > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,3.4,,,,,1.0,3.4,,,,
The Shield > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,3.53,,,,,1.0,3.3,2.0,3.65,,
Fatal Attraction Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.05,,,,,1.0,3.3,1.0,2.8,,
Rogers Roof > Lane Prospect Area > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.5,,,,,1.0,3.0,1.0,4.0,,
3rd Generation Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,3,3.1,,,,,1.0,2.5,1.0,3.3,1.0,3.5
Two toke tower > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,3.5,,,,,,,1.0,3.5,,
Main Wall > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,4.0,,,,,,,,,1.0,4.0
The Broken Ones > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.5,,,,,,,,,1.0,2.5
