crag,total_routes,avg_stars_crag,num_routes_5.10a-d,avg_stars_5.10a-d,num_routes_5.7-5.9,avg_stars_5.7-5.9,num_routes_5.11a-d,avg_stars_5.11a-d,num_routes_5.12a-d,avg_stars_5.12a-d
Iron Buttress > Clear Creek Canyon > Golden > Colorado,4,2.1,1.0,2.3,,,1.0,1.0,2.0,2.55
Twitch Rock > Clear Creek Canyon > Golden > Colorado,4,2.23,1.0,2.1,1.0,1.7,,,2.0,2.55
The Mission Wall > Clear Creek Canyon > Golden > Colorado,9,2.21,1.0,2.1,,,4.0,2.6,4.0,1.85
Wabble of Wowdy Webels Wall > The Aqueduct > Clear Creek Canyon > Golden > Colorado,4,2.5,1.0,2.0,,,1.0,3.0,2.0,2.5
Shark's Fin > Clear Creek Canyon > Golden > Colorado,3,2.27,1.0,2.0,,,1.0,2.0,1.0,2.8
The Fish Bowl > Clear Creek Canyon > Golden > Colorado,3,1.07,1.0,1.8,2.0,0.7,,,,
F. Show Nuff Wall > Left Wire > Clear Creek Canyon > Golden > Colorado,2,1.75,1.0,1.8,1.0,1.7,,,,
Rebel Wall > Clear Creek Canyon > Golden > Colorado,2,1.85,1.0,1.7,,,,,1.0,2.0
Stoked Bowl > Clear Creek Canyon > Golden > Colorado,5,1.72,1.0,1.5,1.0,1.3,2.0,1.8,1.0,2.2
Higher Wire > Clear Creek Canyon > Golden > Colorado,4,1.57,1.0,1.5,,,2.0,1.65,1.0,1.5
Trump Tower > Clear Creek Canyon > Golden > Colorado,3,1.83,1.0,1.5,,,1.0,1.0,1.0,3.0
High Profile Wall > Clear Creek Canyon > Golden > Colorado,2,2.3,1.0,1.5,,,,,1.0,3.1
The Nest > Clear Creek Canyon > Golden > Colorado,3,1.77,1.0,1.3,1.0,1.0,1.0,3.0,,
Elk Creek > Clear Creek Canyon > Golden > Colorado,5,1.52,1.0,1.0,,,4.0,1.65,,
The Sports Wall > Clear Creek Canyon > Golden > Colorado,4,2.1,1.0,0.9,,,2.0,2.3,1.0,2.9
E. Addict's Wall > Left Wire > Clear Creek Canyon > Golden > Colorado,1,0.6,1.0,0.6,,,,,,
The Big Five > The Safari > Clear Creek Canyon > Golden > Colorado,9,2.06,,,9.0,2.06,,,,
A Little Piece of South Dakota > Clear Creek Canyon > Golden > Colorado,3,1.97,,,2.0,1.95,,,1.0,2.0
The Little Five > The Safari > Clear Creek Canyon > Golden > Colorado,2,1.8,,,2.0,1.8,,,,
The New River Wall > Clear Creek Canyon > Golden > Colorado,6,2.23,,,1.0,2.0,2.0,1.95,3.0,2.5
Anarchy Wall > Clear Creek Canyon > Golden > Colorado,16,2.64,,,1.0,1.8,2.0,2.1,13.0,2.79
Rapids Rock > Clear Creek Canyon > Golden > Colorado,3,2.1,,,1.0,1.8,1.0,1.0,1.0,3.5
The Twilight Zone > Clear Creek Canyon > Golden > Colorado,6,2.65,,,,,5.0,2.58,1.0,3.0
The Conspiracy Crag > Clear Creek Canyon > Golden > Colorado,9,2.03,,,,,4.0,1.57,5.0,2.4
Rainy Day Rock > Clear Creek Canyon > Golden > Colorado,4,1.6,,,,,3.0,1.5,1.0,1.9
AAA Crag > Clear Creek Canyon > Golden > Colorado,2,2.65,,,,,2.0,2.65,,
Prestige Worldwide Wall > Clear Creek Canyon > Golden > Colorado,3,2.7,,,,,2.0,2.55,1.0,3.0
Broverhang > Clear Creek Canyon > Golden > Colorado,2,2.1,,,,,2.0,2.1,,
The Blonde Formation > Clear Creek Canyon > Golden > Colorado,2,1.25,,,,,2.0,1.25,,
The Talon > Clear Creek Canyon > Golden > Colorado,1,3.0,,,,,1.0,3.0,,
Funyun Wall > Clear Creek Canyon > Golden > Colorado,4,3.0,,,,,1.0,2.5,3.0,3.17
The Bunker > Clear Creek Canyon > Golden > Colorado,3,2.37,,,,,1.0,2.4,2.0,2.35
Bumbling Stock > Clear Creek Canyon > Golden > Colorado,1,2.3,,,,,1.0,2.3,,
Nightworm Pinnacle > Clear Creek Canyon > Golden > Colorado,1,2.2,,,,,1.0,2.2,,
Bionic Crag > Clear Creek Canyon > Golden > Colorado,2,2.25,,,,,1.0,2.0,1.0,2.5
The Guppy > Clear Creek Canyon > Golden > Colorado,1,2.0,,,,,1.0,2.0,,
Aftermath > Clear Creek Canyon > Golden > Colorado,5,1.74,,,,,1.0,0.7,4.0,2.0
The Stumbling Block > Clear Creek Canyon > Golden > Colorado,2,3.5,,,,,,,2.0,3.5
Death Rock > Clear Creek Canyon > Golden > Colorado,2,2.7,,,,,,,2.0,2.7
Nomad's Cave > Clear Creek Canyon > Golden > Colorado,2,2.35,,,,,,,2.0,2.35
C. Facts Wall > Left Wire > Clear Creek Canyon > Golden > Colorado,2,1.05,,,,,,,2.0,1.05
268 Wall > Clear Creek Canyon > Golden > Colorado,1,3.0,,,,,,,1.0,3.0
Sex Cave > Clear Creek Canyon > Golden > Colorado,1,2.8,,,,,,,1.0,2.8
A. 90 Second Wall > Left Wire > Clear Creek Canyon > Golden > Colorado,1,1.5,,,,,,,1.0,1.5
